Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,,
4213710,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
4243761,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
4294173,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
4323617,00000023,FALSE,Rx,0,5,24,1C,BA,00,05,00,00,00,,,
4373686,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
4403713,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
4453717,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
4483681,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
4533797,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
4563673,00000023,FALSE,Rx,0,5,21,63,BF,00,BB,00,00,00,,,
4613718,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
4643784,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
4693757,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
4723545,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
4773613,0000002F,FALSE,Rx,0,5,25,1E,BD,05,F9,00,00,00,,BD1E,48414
4813745,0000002F,FALSE,Rx,0,5,26,4E,BD,05,C8,00,00,00,,BD4E,48462
4853692,0000002F,FALSE,Rx,0,5,28,CF,C2,05,40,00,00,00,,C2CF,49871
4893768,0000002F,FALSE,Rx,0,5,24,50,C7,05,BE,00,00,00,,C750,51024
4933589,0000002F,FALSE,Rx,0,5,27,EE,BD,05,27,00,00,00,,BDEE,48622
4974193,0000002F,FALSE,Rx,0,5,B1,FE,FF,00,4F,00,00,00,,FFFE,65534
5013765,0000002F,FALSE,Rx,0,5,21,AD,C2,05,69,00,00,00,,C2AD,49837
